Category ID	Category Name	Number	Name
9	Castle / Knights Kingdom I	cas037	Knights Kingdom I - Knight 1
9	Castle / Knights Kingdom I	cas039	Knights Kingdom I - Knight 2
9	Castle / Knights Kingdom I	cas041	Knights Kingdom I - Gilbert the Bad, Black Dragon Helmet
9	Castle / Knights Kingdom I	cas042	Knights Kingdom I - Robber 1, Black Neck-Protector
9	Castle / Knights Kingdom I	cas043	Knights Kingdom I - Gilbert the Bad, Black Dragon Helmet, Horns
9	Castle / Knights Kingdom I	cas044	Knights Kingdom I - Robber 2, Black Chin-Guard
9	Castle / Knights Kingdom I	cas045	Knights Kingdom I - Robber 2, Black Dragon Helmet
9	Castle / Knights Kingdom I	cas046	Knights Kingdom I - Cedric the Bull (Robber Chief), Black Dragon Helmet, Horns
284	Ninja	cas048	Ninja - Black
284	Ninja	cas049	Ninja - Gray
284	Ninja	cas050	Ninja - Red
284	Ninja	cas051	Ninja - Master
284	Ninja	cas052	Ninja - Robber, Brown
284	Ninja	cas053	Ninja - Robber, Green
284	Ninja	cas054	Ninja - Samurai, Blue Old
284	Ninja	cas055	Ninja - Samurai, Blue Young
284	Ninja	cas056	Ninja - Shogun, Blue with Armor
284	Ninja	cas057	Ninja - Shogun, White with Armor
284	Ninja	cas058	Ninja - Princess, White
9	Castle / Royal Knights	cas059	Royal Knights - King, with black/white legs
9	Castle / Royal Knights	cas060	Royal Knights - King, with cape and blue legs
9	Castle / Royal Knights	cas061	Royal Knights - Knight 1, Black Chin-Guard, no Quiver
9	Castle / Royal Knights	cas063	Royal Knights - Knight 2 with Plume
9	Castle / Royal Knights	cas064	Royal Knights - Knight 3, Black Neck-Protector
9	Castle / Royal Knights	cas065	Royal Knights - Knight 3, Dark Gray Neck-Protector
9	Castle / Royal Knights	cas066	Royal Knights - Knight 4, Dark Gray Neck-Protector
9	Castle / Royal Knights	cas067	Scale Mail - Red with Black Arms, Blue Legs, Black Grille Helmet, White Plume
9	Castle	cas072	Castle
9	Castle	cas073	Castle
34	Space / Life on Mars	lom001	Life on Mars (LoM) Martian - Orange Body, Black Legs
34	Space / Life on Mars	lom002	Life on Mars (LoM) Martian - Orange Body, Orange Legs
34	Space / Life on Mars	lom003	Life on Mars (LoM) Martian - Altair (Undetermined Torso Color)
34	Space / Life on Mars	lom004	Life on Mars (LoM) Martian - Antares
34	Space / Life on Mars	lom005	Life on Mars (LoM) Martian - Arcturus
34	Space / Life on Mars	lom006	Life on Mars (LoM) Martian - Canopus
34	Space / Life on Mars	lom007	Life on Mars (LoM) Martian - Cassiopeia
34	Space / Life on Mars	lom008	Life on Mars (LoM) Martian - Centauri
34	Space / Life on Mars	lom009	Life on Mars (LoM) Martian - Mizar
34	Space / Life on Mars	lom010	Life on Mars (LoM) Martian - Pollux
34	Space / Life on Mars	lom011	Life on Mars (LoM) Martian - Rigel
34	Space / Life on Mars	lom012	Life on Mars (LoM) Martian - Vega
34	Space / Life on Mars	lom013	Life on Mars (LoM) - Assistant
34	Space / Life on Mars	lom014	Life on Mars (LoM) - Assistant, Large Visor
34	Space / Life on Mars	lom015	Life on Mars (LoM) - BB
34	Space / Life on Mars	lom016	Life on Mars (LoM) - Doc
34	Space / Life on Mars	lom017	Life on Mars (LoM) - Mac
61	Pirates / Pirates I / Imperial Guards	pi001	Imperial Guard - Admiral
61	Pirates / Pirates I / Imperial Soldiers	pi004	Imperial Soldier - Governor
61	Pirates / Pirates I	pi005	Pirate Blue Jacket, Light Gray Legs, Black Pirate Triangle Hat
61	Pirates / Pirates I	pi006	Pirate Blue Jacket White Legs, Black Pirate Triangle Hat
61	Pirates / Pirates I	pi008	Pirate Blue Jacket, Light Gray Legs, Brown Pirate Triangle Hat
61	Pirates / Pirates I	pi009	Pirate Blue Jacket, White Legs, Brown Pirate Triangle Hat
61	Pirates / Pirates I / Imperial Armada	pi010	Imperial Armada - Red
61	Pirates / Pirates I	pi012	Pirate Anchor Shirt, Light Gray Legs, Black Bandana
61	Pirates / Pirates I	pi013	Pirate Anchor Dark Purple Vest, Blue Legs, Red Bandana
61	Pirates / Pirates I / Imperial Armada	pi014	Imperial Armada - Green
61	Pirates / Pirates I / Imperial Armada	pi015	Imperial Armada - Green Captain
61	Pirates / Pirates I / Imperial Armada	pi016	Imperial Armada - Red - Captain
61	Pirates / Pirates I	pi017	Pirate Blue / White Stripes Shirt, Black Legs, Black Pirate Triangle Hat
61	Pirates / Pirates I	pi018	Pirate Blue / White Stripes Shirt, Blue Legs, Black Pirate Triangle Hat
61	Pirates / Pirates I	pi019	Pirate Blue / White Stripes Shirt, White Legs, Blue Bandana
61	Pirates / Pirates I	pi020	Pirate Blue / White Stripes Shirt, Black Legs, Red Bandana
61	Pirates / Pirates I	pi021	Pirate Blue / White Stripes Shirt, Blue Legs, Red Bandana
61	Pirates / Pirates I	pi022	Pirate Shirt with Knife, Black Leg with Peg Leg, Black Pirate Hat with Skull
61	Pirates / Pirates I	pi023	Pirate Shirt with Knife, Black Leg with Peg Leg, Black Pirate Hat with Skull, Blue Epaulettes
61	Pirates / Pirates I	pi024	Pirate Shirt with Knife, Black Legs, Brown Pirate Triangle Hat
61	Pirates / Pirates I	pi025	Pirate Red / Black Stripes Shirt, Black Legs, Black Pirate Triangle Hat
61	Pirates / Pirates I	pi026	Pirate Red / Black Stripes Shirt, Blue Legs, Black Pirate Triangle Hat
53	Adventurers / Jungle	adv001	Achu
53	Adventurers / Dino Island	adv002	Alexis Sanister
53	Adventurers / Desert	adv003	Baron Von Barron with Pith Helmet
53	Adventurers / Desert	adv004	Baron Von Barron with Brown Aviator Cap
53	Adventurers / Desert	adv005	Baron Von Barron with Light Gray Aviator Cap
53	Adventurers / Desert	adv006	Dr. Charles Lightning
53	Adventurers / Jungle	adv008	Gabarros
53	Adventurers / Desert	adv009	Harry Cane
53	Adventurers / Desert	adv010	Johnny Thunder (Desert)
53	Adventurers / Jungle	adv012	Max Villano
53	Adventurers / Dino Island	adv014	Mike
53	Adventurers / Desert	adv015	Miss Gail Storm (Desert)
53	Adventurers / Jungle	adv016	Miss Gail Storm (Jungle) with Pith Helmet
53	Adventurers / Dino Island	adv018	Miss Gail Storm (Dino Island) with Aviator Cap and Goggles
53	Adventurers / Dino Island	adv019	Mr. Cunningham with Black Hips
53	Adventurers / Dino Island	adv020	Mr. Cunningham with Brown Hips
53	Adventurers / Desert	adv021	Pharaoh Hotep
53	Adventurers / Jungle	adv023	Señor Palomar (Senor Palomar)
61	Pirates / Pirates I	pi027	Pirate Red / Black Stripes Shirt, Black Legs, Blue Bandana
61	Pirates / Pirates I	pi028	Pirate Red / Black Stripes Shirt, Blue Legs, Blue Bandana
61	Pirates / Pirates I	pi029	Pirate Red / Black Stripes Shirt, Green Legs, Blue Bandana
61	Pirates / Pirates I	pi030	Pirate Red / Black Stripes Shirt, Red Legs, Blue Bandana
61	Pirates / Pirates I	pi031	Pirate Red / Black Stripes Shirt, Black Legs, Red Bandana
61	Pirates / Pirates I	pi032	Pirate Red / Black Stripes Shirt, Blue Legs, Red Bandana
61	Pirates / Pirates I	pi033	Pirate Brown Shirt, Black Legs, Black Pirate Triangle Hat
61	Pirates / Pirates I	pi034	Pirate Brown Shirt, Green Legs, Black Pirate Triangle Hat
61	Pirates / Pirates I	pi035	Pirate Brown Shirt, Light Gray Legs, Black Pirate Triangle Hat
61	Pirates / Pirates I	pi036	Pirate Brown Shirt, Black Leg with Peg Leg, Black Pirate Triangle Hat
61	Pirates / Pirates I	pi037	Pirate Brown Shirt, Light Gray Legs, Brown Pirate Triangle Hat
61	Pirates / Pirates I	pi038	Pirate Red / White Stripes Shirt, Black Leg with Peg Leg, Black Pirate Triangle Hat
61	Pirates / Pirates I	pi039	Pirate Red / White Stripes Shirt, White Legs, Black Pirate Triangle Hat
61	Pirates / Pirates I	pi040	Pirate Red / White Stripes Shirt, Blue Legs, Blue Bandana
61	Pirates / Pirates I	pi041	Pirate Red / White Stripes Shirt, Light Gray Legs, Blue Bandana
61	Pirates / Pirates I	pi042	Pirate Red / White Stripes Shirt, White Legs, Blue Bandana
61	Pirates / Pirates I	pi043	Pirate Red / White Stripes Shirt, Blue Legs, Red Bandana
61	Pirates / Pirates I	pi044	Pirate Red / White Stripes Shirt, Light Gray Legs, Red Bandana
61	Pirates / Pirates I	pi045	Pirate Red / White Stripes Shirt, White Legs, Red Bandana
61	Pirates / Pirates I	pi046	Pirate Red / White Stripes Shirt, Red Legs, Red Bandana
61	Pirates / Pirates I	pi047	Pirate Green Vest, Black Legs, Black Bandana
61	Pirates / Pirates I	pi048	Pirate Green Vest, Black Legs, Brown Pirate Triangle Hat
61	Pirates / Pirates I	pi049	Pirate Green Vest, Red Legs, Brown Pirate Triangle Hat
61	Pirates / Pirates I	pi050	Pirate Green Vest, Black Leg with Pegleg, Black Pirate Hat with Skull
61	Pirates / Pirates I	pi051	Pirate Green Vest, Black Legs, Red Bandana
61	Pirates / Pirates I	pi052	Pirate Green Vest, Blue Legs, Red Bandana
61	Pirates / Pirates I	pi053	Pirate Brown Vest Ascot, Light Gray Legs, Black Pirate Triangle Hat
61	Pirates / Pirates I	pi054	Pirate Brown Vest Ascot, Blue Legs, Brown Pirate Triangle Hat
61	Pirates / Pirates I	pi055	Captain Red Beard - Brown Epaulettes, Pirate Hat with Skull and Crossbones
61	Pirates / Pirates I	pi056	Pirate Female, White Legs, Blue Bandana
61	Pirates / Pirates I	pi057	Pirate Female, Black Legs, Red Bandana
61	Pirates / Pirates I	pi058	Pirate Female, White Legs, Red Bandana
61	Pirates / Pirates I / Imperial Soldiers	pi060	Imperial Soldier - Sailor
61	Pirates / Pirates I / Imperial Soldiers	pi061	Imperial Soldier
61	Pirates / Pirates I / Imperial Guards	pi062	Imperial Guard with Blue Epaulettes and Brown Backpack Non-Opening
61	Pirates / Pirates I / Imperial Soldiers	pi063	Imperial Soldier - Officer
61	Pirates / Pirates I / Imperial Soldiers	pi064	Imperial Soldier - Harbor Sentry
61	Pirates / Pirates I / Imperial Guards	pi065	Imperial Guard - Officer
61	Pirates / Pirates I / Islanders	pi066	Islander, Female
61	Pirates / Pirates I / Islanders	pi068	Islander, King Kahuka
61	Pirates / Pirates I / Islanders	pi069	Islander, King, with Black Hair-Piece
61	Pirates / Pirates I / Islanders	pi070	Islander, Male
62	Rock Raiders	rck001	Axel - Trans-Neon Green Visor
62	Rock Raiders	rck002	Bandit
62	Rock Raiders	rck003	Docs
62	Rock Raiders	rck004	Jet - Trans-Neon Green Visor
62	Rock Raiders	rck005	Sparks
34	Space / Blacktron I	sp001	Blacktron 1
34	Space / Blacktron II	sp002	Blacktron 2
34	Space / Classic Space	sp003	Classic Space - Black with Air Tanks
34	Space / Classic Space	sp004	Classic Space - Blue with Air Tanks
34	Space / Classic Space	sp005	Classic Space - Red with Air Tanks
34	Space / Classic Space	sp006	Classic Space - White with Air Tanks
34	Space / Classic Space	sp007	Classic Space - Yellow with Air Tanks
34	Space / Exploriens	sp008	Exploriens - Dark Gray Helmet and Radio Torso
34	Space / Exploriens	sp009	Exploriens Chief
34	Space / Exploriens	sp010	Explorien Droid
34	Space / Exploriens	sp011	Exploriens Droid - Dark Gray Helmet
34	Space / Exploriens	sp012	Exploriens - Helmet with Breathing Apparatus and Hose Torso
34	Space / Futuron	sp013	Futuron - Black
34	Space / Futuron	sp014	Futuron - Blue
34	Space / Futuron	sp015	Futuron - Red
34	Space / Futuron	sp016	Futuron - Yellow
34	Space / Ice Planet 2002	sp017	Ice Planet - Female (Doctor Kelvin)
34	Space / Ice Planet 2002	sp018	Ice Planet - Male
34	Space / Ice Planet 2002	sp019	Ice Planet Chief (Commander Cold / Commander Bear)
34	Space / Insectoids	sp020	Insectoids Zotaxian Alien - Male, Gray and Black with Green Circuits and Silver Hoses, with Air Tanks (Professor Webb / Locust)
34	Space / Insectoids	sp021	Insectoids Zotaxian Alien - Male, Gray and Blue with Silver Circuits and Hoses (Lieutenant Maverick)
34	Space / Insectoids	sp022	Insectoids Zotaxian Alien - Female, Gray and Blue with Silver Circuits, with Air Tanks (Gypsy Moth / Navigator Sharp)
34	Space / Insectoids	sp023	Insectoids Zotaxian Alien - Male, Black and Blue with Silver Circuits, with Air Tanks (Captain Wizer / Captain Zec)
34	Space / Insectoids	sp024	Insectoids Zotaxian Alien - Male, Gray and Green with Green Circuits and Silver Panels (Techno Leon)
34	Space / Insectoids	sp025	Insectoids Zotaxian Alien - Male, Gray and Green with Green Circuits and Silver Hoses, with Air Tanks (Danny Longlegs / Corporal Steel)
34	Space / Insectoids	sp026	Insectoids Zotaxian Alien - Female, Gray and Blue with Silver Circuits, with Armor (Gypsy Moth / Navigator Sharp)
34	Space / Insectoids	sp027	Insectoids Zotaxian Alien - Male, Gray and Green with Green Circuits and Silver Hoses, with Black Armor (Danny Longlegs / Corporal Steel)
34	Space / Insectoids	sp028	Insectoids Zotaxian Alien - Male, Gray and Black with Green Circuits and Silver Hoses, with Armor (Professor Webb / Locust)
34	Space / Insectoids	sp029	Insectoids Zotaxian Alien - Male, Black and Blue with Silver Circuits, with Armor (Captain Wizer / Captain Zec)
34	Space / Insectoids	sp030	Insectoids Zotaxian Alien - Male, Gray and Green with Green Circuits and Silver Hoses, with Dark Gray Armor (Danny Longlegs / Corporal Steel)
34	Space / Insectoids	sp032	Insectoids Droid (Gigabot)
34	Space / M:Tron	sp033	M:Tron with Air Tanks
34	Space / RoboForce	sp035	RoboForce Yellow
34	Space / Space Police I	sp036	Space Police 1
34	Space / Space Police II	sp037	Space Police 2
34	Space / Space Police II	sp038	Space Police 2 Chief (Captain Magenta)
34	Space / Spyrius	sp039	Spyrius
34	Space / Spyrius	sp040	Spyrius Chief
34	Space / Spyrius	sp041	Spyrius Droid (Major Kartofski)
34	Space / UFO	sp042	UFO Zotaxian Alien - Blue Officer (Commander X)
34	Space / UFO	sp043	UFO Droid - Blue (Techdroid 1)
34	Space / UFO	sp044	UFO Droid - Red (Techdroid 2)
34	Space / UFO	sp045	UFO Zotaxian Alien - Gray Overlord (Alpha Draconis)
34	Space / UFO	sp046	UFO Zotaxian Alien - Red Pilot with Armor and Printed Helmet (Chamon)
34	Space / UFO	sp047	UFO Zotaxian Alien - Red Pilot with Plain Black Helmet (Chamon)
34	Space / Unitron	sp048	Unitron
34	Space / Unitron	sp049	Unitron Chief
65	Star Wars / Star Wars Episode 4/5/6	sw0002	Boba Fett - Classic Grays
65	Star Wars / Star Wars Episode 1	sw0003	Darth Maul
65	Star Wars / Star Wars Episode 4/5/6	sw0004	Darth Vader (Light Gray Head)
65	Star Wars / Star Wars Episode 4/5/6	sw0005	Imperial Scout Trooper - Yellow Head, Dark Gray Torso Print
65	Star Wars / Star Wars Episode 1	sw0006	Aldar Beedo
65	Star Wars / Star Wars Episode 1	sw0007	Anakin Skywalker (Brown Aviator Cap)
65	Star Wars / Star Wars Episode 1	sw0008	Anakin Skywalker (Light Gray Aviator Cap)
65	Star Wars / Star Wars Episode 4/5/6	sw0009	Biggs Darklighter
65	Star Wars / Star Wars Episode 4/5/6	sw0010	C-3PO - Pearl Light Gold
65	Star Wars / Star Wars Episode 4/5/6	sw0011	Chewbacca (Brown)
65	Star Wars / Star Wars Episode 4/5/6	sw0012	Dak Ralter with Dark Gray Hips
65	Star Wars / Star Wars Episode 1	sw0013	Gungan Soldier
65	Star Wars / Star Wars Episode 4/5/6	sw0014	Han Solo, Blue Legs (Falcon)
65	Star Wars / Star Wars Episode 4/5/6	sw0015	Han Solo, Brown Legs without Holster Pattern (Skiff)
65	Star Wars / Star Wars Episode 4/5/6	sw0016	Hoth Rebel (Yellow Head, Brown Visor)
65	Star Wars / Star Wars Episode 1	sw0017	Jar Jar Binks
65	Star Wars / Star Wars Episode 4/5/6	sw0018	Luke Skywalker (Endor)
65	Star Wars / Star Wars Episode 4/5/6	sw0019	Luke Skywalker with Dark Gray Hips (Pilot)
65	Star Wars / Star Wars Episode 4/5/6	sw0020	Luke Skywalker (Skiff)
65	Star Wars / Star Wars Episode 4/5/6	sw0021	Luke Skywalker (Tatooine)
65	Star Wars / Star Wars Episode 1	sw0022	Naboo Security Officer
65	Star Wars / Star Wars Episode 4/5/6	sw0023	Obi-Wan Kenobi with Light Gray Hair (Old)
65	Star Wars / Star Wars Episode 1	sw0024	Obi-Wan Kenobi (Young with Hood and Cape)
65	Star Wars / Star Wars Episode 1	sw0025	Padme Naberrie (Amidala) (Yellow)
65	Star Wars / Star Wars Episode 4/5/6	sw0026	Princess Leia
65	Star Wars / Star Wars Episode 1	sw0027	Qui-Gon Jinn (Yellow Head)
65	Star Wars	sw0028	Astromech Droid, R2-D2
65	Star Wars	sw0029	Astromech Droid, R5-D4, Short Red Stripes on Dome
65	Star Wars / Star Wars Episode 4/5/6	sw0030	Rebel Engineer
65	Star Wars / Star Wars Episode 4/5/6	sw0031	Rebel Pilot A-wing - Yellow Head, Trans-Yellow Visor, Green Jumpsuit
65	Star Wars / Star Wars Episode 4/5/6	sw0032	Rebel Pilot B-wing (Yellow Head, Light Gray Helmet, Trans-Yellow Visor)
65	Star Wars / Star Wars Episode 4/5/6	sw0033	Rebel Pilot Y-wing (Jon 'Dutch' Vander, Gold Leader) - Yellow Head, Dark Gray Hips
65	Star Wars / Star Wars Episode 4/5/6	sw0034	Rebel Technician
69	Western / Cowboys	ww001	Cavalry General
69	Western / Cowboys	ww002	Cavalry Colonel - Cowboy Hat
69	Western / Cowboys	ww003	Calvary Colonel - Cowboy Hat, White Bandana (Colt Carson)
69	Western / Cowboys	ww004	Cavalry Colonel - Cavalry Cap, White Bandana
69	Western / Cowboys	ww005	Cavalry Soldier
69	Western / Cowboys	ww006	Cavalry Soldier - White Bandana
69	Western / Cowboys	ww007	Bandit 1 (Black Bart)
69	Western / Cowboys	ww008	Bandit 2 (Flatfoot Thompson / Flatfoot Thomsen / Prairie Pete)
69	Western / Cowboys	ww010	Bandit 3 (Dewey Cheatum)
69	Western / Cowboys	ww011	Bandit 4
69	Western / Cowboys	ww012	Deputy (Zack)
69	Western / Cowboys	ww013	Cowboy (Flatnose Curry)
69	Western / Indians	ww014	Indian 2 - Black Quiver
69	Western / Indians	ww016	Indian 1 - Black Quiver
69	Western / Indians	ww017	Indian Chief 1 (Big Chief Rattle Snake / Big Chief Rattlesnake)
69	Western / Indians	ww018	Indian 4 - Female, Black Quiver
69	Western / Indians	ww019	Indian Medicine Man
69	Western / Cowboys	ww020	Banker
69	Western / Cowboys	ww021	Sheriff (Wild Wyatt West / Duke)
67	Town / Classic Town	chef007	Chef - Black Legs, Moustache (Undetermined Type)
67	Town / Paradisa	par002	Horse and Palm - Yellow Legs, Black Ponytail Hair
67	Town / Paradisa	par003	Blue Flowers - White Legs, Black Ponytail Hair
67	Town / Paradisa	par004	Blue Flowers - Yellow Legs, Black Ponytail Hair
67	Town / Paradisa	par005	Blue Flowers - Yellow Legs, White Cap
67	Town / Paradisa	par006	Blue Flowers - Yellow Legs, Red Ponytail Hair
67	Town / Paradisa	par007	Gray and White Collar - Yellow Legs, Brown Ponytail Hair, Life Jacket
67	Town / Paradisa	par008	Blue Flowers - Pink Legs, Brown Female Hair
67	Town / Paradisa	par009	Red Halter Top - Yellow Legs, Black Ponytail Hair, Open Mouth
67	Town / Paradisa	par010	Red Dots on Pink Shirt - Yellow Legs, Brown Ponytail Hair, Life Jacket
67	Town / Paradisa	par011	Red Dots on Pink Shirt - Yellow Legs, Brown Ponytail Hair, Closed Mouth
67	Town / Paradisa	par012	Red Riding Jacket - White Legs, Black Construction Helmet
67	Town / Paradisa	par013	Red Riding Jacket - Light Gray Legs, Black Construction Helmet
67	Town / Paradisa	par014	Red Riding Jacket - Black Legs, Brown Ponytail Hair
67	Town / Paradisa	par015	Horse Logo - Light Gray Legs, Red Ponytail Hair
67	Town / Paradisa	par016	Red Dots on Pink Shirt - White Legs, Brown Ponytail Hair
67	Town / Paradisa	par017	Red Dots on Pink Shirt - Yellow Legs, Brown Ponytail Hair, Open Mouth
67	Town / Paradisa	par018	Red Dots on Pink Shirt - White Legs, White Cap
67	Town / Paradisa	par019	Palm Tree - Yellow Legs, Red Ponytail Hair
67	Town / Paradisa	par020	Palm Tree - Yellow Legs, Black Ponytail Hair
67	Town / Paradisa	par021	Palm Tree - Light Gray Legs, Blue Cap
67	Town / Paradisa	par022	Island with Palm and Sun - Yellow Legs, Black Ponytail Hair
67	Town / Paradisa	par023	Island with Palm and Sun - Yellow Legs, Red Ponytail Hair
67	Town / Paradisa	par024	Jogging Suit - White Legs, Red Ponytail Hair
67	Town / Paradisa	par025	Horizontal Blue and Light Green Stripes, Yellow Legs, Brown Male Hair, Life Jacket
67	Town / Paradisa	par026	Horizontal Blue and Light Green Stripes, White Legs, Black Construction Helmet
67	Town / Paradisa	par027	Horizontal Blue and Light Green Stripes, Yellow Legs, Blue Cap
67	Town / Paradisa	par028	Horizontal Blue and Light Green Stripes, Light Gray Legs, Light Gray Cowboy Hat
67	Town / Paradisa	par029	Surfboard on Ocean - Yellow Legs, Black Male Hair, Moustache
67	Town / Paradisa	par030	Surfboard on Ocean - Yellow Legs, Blue Cap
67	Town / Paradisa	par031	Surfboard on Ocean - White Legs, Blue Cap (Undetermined Torso)
67	Town / Paradisa	par032	Surfboard on Ocean - Yellow Legs, Brown Male Hair, Life Jacket
67	Town / Paradisa	par033	Surfboard on Ocean - Blue Legs, Blue Cap
67	Town / Paradisa	par034	Red / White Stripes Shirt, Yellow Legs, White Cap
67	Town / Paradisa	par035	Plain Black Torso with Yellow Arms, White Legs, Sunglasses, Brown Male Hair
67	Town / Paradisa	par036	Plain Black Torso with Yellow Arms, Yellow Legs, Sunglasses, Black Male Hair, Life Jacket
67	Town / Paradisa	wtr001	Town Vest Formal - Waiter with Moustache
67	Town / Paradisa	wtr003	Town Vest Formal - Coachman
157	Time Cruisers / Twisters	tim001	Time Twisters - Black Leather Jacket with Zippered Pockets over Red Shirt, Yellow Epaulettes (Tony Twister / Baron Blomberg)
157	Time Cruisers / Twisters	tim002	Time Twisters - Dark Gray Armor with Silver Stripes and Rivets, Yellow Epaulettes (Professor Millennium / Commodore Schmidt)
157	Time Cruisers / Twisters	tim003	Time Cruisers - Dr. Cyber
157	Time Cruisers / Twisters	tim004	Time Cruisers - Timmy with Blue Legs, Blue Cap
67	Town / Arctic	arc001	Arctic - Red, White Helmet
67	Town / Arctic	arc002	Arctic - Black, Black Hood, Backpack
67	Town / Arctic	arc003	Arctic - Black, Blue Cap
67	Town / Arctic	arc004	Arctic - Black, White Cap
67	Town / Arctic	arc005	Arctic - Blue, Blue Hood, Black Legs
67	Town / Arctic	arc006	Arctic - Blue, Blue Hood, Black Legs, Snowshoes
67	Town / Arctic	arc007	Arctic - Green, Green Cap
67	Town / Arctic	arc008	Arctic - Green, Green Hood
67	Town / Arctic	arc009	Arctic - Red, Medic
67	Town	div001	Town
67	Town	div002	Town
67	Town / Divers	div003	Divers - Boatie, Fish and Dolphin Shirt, Blue Cap
67	Town / Divers	div004	Divers - Boatie, Fish and Dolphin Shirt, Brown Male Hair
67	Town / Divers	div005	Divers - Boatie, Blue Cap, Life Jacket (Undetermined Torso)
67	Town / Divers	div007	Divers - Control 1, Red Legs, Black Cap, Life Jacket
67	Town / Divers	div008	Divers - Control 1, Yellow Legs with Black Hips, White Cap
67	Town / Divers	div009	Divers - Control 2, Red Legs, Black Cap, Glasses and Headset
67	Town / Divers	div010	Divers - Control 2, Black Legs, Red Cap
67	Town / Divers	div011	Divers - Control 2, Red Legs with Black Hips, Red Cap
67	Town / Divers	div012	Divers - Control 2, Yellow Legs with Black Hips, White Cap
67	Town / Divers	div013	Divers - Blue, Red Cap
67	Town / Divers	div014	Divers - Red Diver 2, Red Legs, Black Helmet
67	Town / Divers	div015	Divers - Red Diver 2, Black Legs with Red Hips, Black Helmet, Brown Bangs, Stubble
67	Town / Divers	div016	Divers - Red Diver 2, Red Legs with Black Hips, Black Helmet, Brown Bangs, Stubble
67	Town / Divers	div018	Divers - Red Diver 2, Red Legs with Black Hips, Black Helmet, White Bangs
67	Town / Divers	div020	Divers - Red Diver 2, White Cap
67	Town / Extreme Team	ext001	Extreme Team - Blue, Blue Flame Helmet, White Bangs
67	Town / Extreme Team	ext002	Extreme Team - Blue, Blue Helmet Plain, Life Jacket
67	Town / Extreme Team	ext003	Extreme Team - Gray with Dark Gray Helmet
67	Town / Extreme Team	ext004	Extreme Team - Green, Dark Gray Legs, Blue Cap, Life Jacket
67	Town / Extreme Team	ext005	Extreme Team - Green, Black Legs with Yellow Hips, Green Flame Helmet, Life Jacket
